phi1_deg,lam0_deg,fov_deg,mae
70.0,140.0,30.0,78.01188373272896
70.0,140.0,50.0,78.01188373272896
70.0,140.0,70.0,78.01188373272896
70.0,140.0,90.0,78.01188373272896
70.0,180.0,10.0,74.00204552632218
70.0,180.0,30.0,74.00204552632218
70.0,180.0,50.0,74.00204552632218
70.0,180.0,70.0,74.00204552632218
70.0,180.0,90.0,74.00204552632218
90.0,-180.0,10.0,74.01963164208595
90.0,-180.0,30.0,74.01963164208595
90.0,-180.0,50.0,74.01963164208595
90.0,-180.0,70.0,74.01963164208595
90.0,-180.0,90.0,74.01963164208595
90.0,-140.0,10.0,73.99151422114195
90.0,-140.0,30.0,73.99151422114195
90.0,-140.0,50.0,73.99151422114195
90.0,-140.0,70.0,73.99151422114195
90.0,-140.0,90.0,73.99151422114195
90.0,-100.0,10.0,75.02344852885784
90.0,-100.0,30.0,75.02344852885784
90.0,-100.0,50.0,75.02344852885784
90.0,-100.0,70.0,75.02344852885784
90.0,-100.0,90.0,75.02344852885784
90.0,-60.0,10.0,75.74636086468148
90.0,-60.0,30.0,75.74636086468148
90.0,-60.0,50.0,75.74636086468148
90.0,-60.0,70.0,75.74636086468148
90.0,-60.0,90.0,75.74636086468148
90.0,-20.0,10.0,77.48064132926764
90.0,-20.0,30.0,77.48064132926764
90.0,-20.0,50.0,77.48064132926764
90.0,-20.0,70.0,77.48064132926764
90.0,-20.0,90.0,77.48064132926764
90.0,20.0,10.0,76.53509269268663
90.0,20.0,30.0,76.53509269268663
90.0,20.0,50.0,76.53509269268663
90.0,20.0,70.0,76.53509269268663
90.0,20.0,90.0,76.53509269268663
90.0,60.0,10.0,76.04118731183534
90.0,60.0,30.0,76.04118731183534
90.0,60.0,50.0,76.04118731183534
90.0,60.0,70.0,76.04118731183534
90.0,60.0,90.0,76.04118731183534
90.0,100.0,10.0,76.95405919993719
90.0,100.0,30.0,76.95405919993719
90.0,100.0,50.0,76.95405919993719
90.0,100.0,70.0,76.95405919993719
90.0,100.0,90.0,76.95405919993719
90.0,140.0,10.0,80.03776957541147
90.0,140.0,30.0,80.03776957541147
90.0,140.0,50.0,80.03776957541147
90.0,140.0,70.0,80.03776957541147
90.0,140.0,90.0,80.03776957541147
90.0,180.0,10.0,80.46967282845232
90.0,180.0,30.0,80.46967282845232
90.0,180.0,50.0,80.46967282845232
90.0,180.0,70.0,80.46967282845232
90.0,180.0,90.0,80.46967282845232
